32.40,s,80.39,MB/s,726683.71,iops,average=,65.74,MB/s,594263.12,iops
33.41,s,80.78,MB/s,730188.48,iops,average=,66.20,MB/s,598393.87,iops
34.43,s,80.15,MB/s,724545.60,iops,average=,66.61,MB/s,602115.92,iops
35.44,s,80.01,MB/s,723253.65,iops,average=,66.99,MB/s,605586.58,iops
36.46,s,79.35,MB/s,717254.95,iops,average=,67.34,MB/s,608697.50,iops
37.47,s,40.93,MB/s,369997.80,iops,average=,66.62,MB/s,602228.67,iops
38.48,s,80.77,MB/s,730133.66,iops,average=,66.99,MB/s,605578.74,iops
39.50,s,79.18,MB/s,715777.19,iops,average=,67.31,MB/s,608411.90,iops
40.51,s,65.10,MB/s,588442.91,iops,average=,67.25,MB/s,607911.52,iops
41.53,s,40.43,MB/s,365429.97,iops,average=,66.59,MB/s,601977.10,iops
1.00,s,78.74,MB/s,711732.31,iops,average=,78.74,MB/s,711732.31,iops
2.02,s,80.11,MB/s,724188.53,iops,average=,79.43,MB/s,718026.49,iops
3.04,s,80.78,MB/s,730180.96,iops,average=,79.88,MB/s,722090.68,iops
4.06,s,83.60,MB/s,755721.50,iops,average=,80.82,MB/s,730545.04,iops
5.07,s,82.53,MB/s,746044.25,iops,average=,81.16,MB/s,733648.97,iops
6.09,s,81.87,MB/s,740020.87,iops,average=,81.28,MB/s,734716.37,iops
7.11,s,82.05,MB/s,741723.13,iops,average=,81.39,MB/s,735721.70,iops
8.14,s,81.81,MB/s,739526.38,iops,average=,81.44,MB/s,736199.05,iops
9.15,s,83.14,MB/s,751568.74,iops,average=,81.63,MB/s,737904.89,iops
10.17,s,81.69,MB/s,738461.84,iops,average=,81.64,MB/s,737960.69,iops
11.19,s,84.27,MB/s,761781.80,iops,average=,81.88,MB/s,740132.97,iops
12.21,s,82.20,MB/s,743014.73,iops,average=,81.90,MB/s,740373.94,iops
13.23,s,83.04,MB/s,750671.72,iops,average=,81.99,MB/s,741168.69,iops
14.25,s,82.98,MB/s,750077.60,iops,average=,82.06,MB/s,741806.97,iops
15.27,s,82.61,MB/s,746712.93,iops,average=,82.10,MB/s,742133.41,iops
16.29,s,81.64,MB/s,737978.28,iops,average=,82.07,MB/s,741874.22,iops
17.30,s,83.13,MB/s,751441.57,iops,average=,82.13,MB/s,742435.81,iops
18.32,s,83.17,MB/s,751810.93,iops,average=,82.19,MB/s,742955.71,iops
19.34,s,84.28,MB/s,761864.13,iops,average=,82.30,MB/s,743953.93,iops
20.36,s,82.92,MB/s,749521.48,iops,average=,82.33,MB/s,744233.24,iops
21.38,s,81.13,MB/s,733341.62,iops,average=,82.27,MB/s,743713.02,iops
22.40,s,81.58,MB/s,737459.33,iops,average=,82.24,MB/s,743428.12,iops
23.42,s,84.26,MB/s,761680.11,iops,average=,82.33,MB/s,744223.77,iops
24.44,s,83.32,MB/s,753163.09,iops,average=,82.37,MB/s,744597.25,iops
25.46,s,83.18,MB/s,751875.83,iops,average=,82.40,MB/s,744889.06,iops
26.49,s,83.40,MB/s,753886.08,iops,average=,82.44,MB/s,745235.92,iops
27.51,s,82.88,MB/s,749169.80,iops,average=,82.46,MB/s,745381.96,iops
28.53,s,83.46,MB/s,754450.32,iops,average=,82.49,MB/s,745706.60,iops
29.55,s,82.43,MB/s,745146.59,iops,average=,82.49,MB/s,745687.25,iops
30.57,s,83.10,MB/s,751173.37,iops,average=,82.51,MB/s,745870.56,iops
31.59,s,39.26,MB/s,354883.82,iops,average=,81.11,MB/s,733231.36,iops
32.60,s,81.42,MB/s,735953.65,iops,average=,81.12,MB/s,733315.68,iops
33.62,s,69.86,MB/s,631467.11,iops,average=,80.78,MB/s,730238.75,iops
34.63,s,4.87,MB/s,44045.21,iops,average=,78.55,MB/s,710071.87,iops
35.64,s,1.52,MB/s,13730.38,iops,average=,76.39,MB/s,690511.73,iops
36.64,s,43.50,MB/s,393229.54,iops,average=,75.49,MB/s,682394.14,iops
1.00,s,81.26,MB/s,734589.84,iops,average=,81.26,MB/s,734589.84,iops
2.02,s,83.92,MB/s,758612.74,iops,average=,82.61,MB/s,746717.57,iops
3.04,s,84.16,MB/s,760784.71,iops,average=,83.13,MB/s,751440.89,iops
